LA_Age,LA_Error,WM,WME
13.38554,0.52995,14.11,0.28
13.44251,0.50777,14.11,0.28
13.55468,0.41524,14.11,0.28
13.54599,0.61158,14.11,0.28
13.57603,0.57745,14.11,0.28
13.69498,0.6777,14.11,0.28
13.72041,0.34181,14.11,0.28
13.73786,0.34224,14.11,0.28
13.76966,0.89497,14.11,0.28
13.80302,0.4638,14.11,0.28
13.79486,0.39905,14.11,0.28
13.8157,0.39016,14.11,0.28
13.81249,0.62517,14.11,0.28
13.88346,0.52397,14.11,0.28
13.88992,0.33376,14.11,0.28
13.92502,0.36156,14.11,0.28
13.9358,0.3658,14.11,0.28
13.96294,0.55318,14.11,0.28
13.95322,0.37423,14.11,0.28
13.98212,0.42549,14.11,0.28
13.97923,0.46565,14.11,0.28
13.98498,0.38785,14.11,0.28
13.9603,0.42874,14.11,0.28
13.9929,0.45045,14.11,0.28
14.00971,0.35485,14.11,0.28
14.02302,0.49851,14.11,0.28
14.01773,0.46093,14.11,0.28
14.02817,0.45614,14.11,0.28
14.03298,0.51467,14.11,0.28
14.02943,0.76689,14.11,0.28
14.03528,0.40712,14.11,0.28
14.04632,0.59369,14.11,0.28
14.04042,0.5643,14.11,0.28
14.05342,0.38043,14.11,0.28
14.05206,0.50903,14.11,0.28
14.06505,0.42715,14.11,0.28
14.06307,0.40788,14.11,0.28
14.06467,0.44633,14.11,0.28
14.07093,0.42174,14.11,0.28
14.06153,0.51938,14.11,0.28
14.08308,0.33719,14.11,0.28
14.07733,0.46654,14.11,0.28
14.09604,0.47227,14.11,0.28
14.10329,0.356,14.11,0.28
14.08716,0.37144,14.11,0.28
14.12471,0.39962,14.11,0.28
14.11728,0.49941,14.11,0.28
14.11772,0.47301,14.11,0.28
14.13384,0.51601,14.11,0.28
14.10622,0.3478,14.11,0.28
14.15098,0.41369,14.11,0.28
14.1471,0.52081,14.11,0.28
14.13895,0.36399,14.11,0.28
14.16493,0.38165,14.11,0.28
14.15817,0.6159,14.11,0.28
14.16796,0.37752,14.11,0.28
14.1751,0.39099,14.11,0.28
14.19141,0.40934,14.11,0.28
14.19382,0.41891,14.11,0.28
14.19312,0.95589,14.11,0.28
14.18952,0.33205,14.11,0.28
14.19042,0.36958,14.11,0.28
14.2027,0.43856,14.11,0.28
14.1958,0.414,14.11,0.28
14.20251,0.4898,14.11,0.28
14.21246,0.38295,14.11,0.28
14.20854,0.40948,14.11,0.28
14.22033,0.47905,14.11,0.28
14.2353,0.45332,14.11,0.28
14.24206,0.42931,14.11,0.28
14.25022,0.38298,14.11,0.28
14.25295,0.77153,14.11,0.28
14.25456,0.39197,14.11,0.28
14.27603,0.55096,14.11,0.28
14.28398,0.55071,14.11,0.28
14.28546,0.5667,14.11,0.28
14.28428,0.43398,14.11,0.28
14.29948,0.35158,14.11,0.28
14.29924,0.40641,14.11,0.28
14.28508,0.40533,14.11,0.28
14.30845,0.45435,14.11,0.28
14.30952,0.41574,14.11,0.28
14.30498,0.43921,14.11,0.28
14.31308,0.34452,14.11,0.28
14.30404,0.39234,14.11,0.28
14.30294,0.36288,14.11,0.28
14.31669,0.5282,14.11,0.28
14.32815,0.52279,14.11,0.28
14.33313,0.52316,14.11,0.28
14.35101,0.64808,14.11,0.28
14.35149,0.56791,14.11,0.28
14.3585,0.39351,14.11,0.28
14.36371,0.52882,14.11,0.28
14.37401,0.55673,14.11,0.28
14.36542,0.43038,14.11,0.28
14.37426,0.32315,14.11,0.28
14.38859,0.70069,14.11,0.28
14.3828,0.3851,14.11,0.28
14.38962,0.46061,14.11,0.28