MAR_Holocene_CA_Gardner_et_al_1997,OCMAR_Holocene_CA_Gardner_et_al_1997,MAR_CA_Margin_Reimers_et_al_1992,OCMAR_CA_Margin_Reimers_et_al_1992,MAR_Open_Ocean_Sarnthein_et_al_1988,OCMAR_Open_Ocean_Sarnthein_et_al_1988,MAR_Oman_Lallier_et_Verges_1993,OCMAR_Oman_Lallier_et_Verges_1993,MAR_Black_Sea_Arthur_et_al_1994,OCMAR_Black_Sea_Arthur_et_al_1994,MAR_Borderland_Jahnke_et_al_1990,OCMAR_Borderland_Jahnke_et_al_1990,MAR_Cariaco_Canfield1999,OCMAR_Cariaco_Canfield1999,MAR_Saanich_Canfield1999,OCMAR_Saanich_Canfield1999,MAR_Skan_Canfield1999,OCMAR_Skan_Canfield1999,MAR_LongIsland_Canfield1999,OCMAR_LongIsland_Canfield1999,MAR_Benguela,OCMAR_Benguela,Cretaceous_MAR_Kuypers_2002,Cretaceous_OCMAR,MAR_ModPeru,OCMAR_ModPeru,,MAR_Siliceous_Ibach,TOCMAR_Siliceous_Ibach,MAR_CalcSil_Ibach,OCMAR_CalcSil_Ibach,MAR_Calc_Ibach,OCMAR_Calc_Ibach
6653.425027,147.4462852,944.7320347,18.48369386,6285.703763,487.2623489,2436.863908,857.6691059,8925.186173,506.84344,12435.12645,251.4909244,26300,1052,200000,6400,630000,25200,3130000,109550,5172.41379,150,25400,900,17800,3770,"Bralower and Thierstein, 1985",329.4,18,973,85,1780,196
8925.186173,136.8335238,1782.496996,36.00696485,30591.2137,6119.962275,19411.80159,848.7736473,7597.285309,403.3522083,13932.62416,831.6806297,,,,,,,,,6470.58824,110,25400,2600,31800,3980,"Bralower and Thierstein, 1985",307.2,32,459,26,1914,166
5401.449102,68.95891536,1997.153854,23.72855729,9447.320347,340.3287643,21341.16418,865.3727768,19971.53854,436.8991741,16060.5834,880.9195263,,,,,,,,,7714.28571,270,4000,300,180000,6000,"Dale et al., 2015",5580,2065,2592,267,1793,135
8757.634809,360.1540185,3697.440846,43.66262984,6845.275732,121.9739612,18689.81223,471.2263293,3697.440846,387.1792622,17000.14693,1106.468579,,,,,,,,,862.068966,50,4000,900,76800,2900,"Dale et al., 2015",4762.5,1187,1380,89,2464.5,203
9095.943135,228.4304001,4221.962809,168.0784917,9537.265402,241.8599545,4302.737543,93.33650903,2973.384196,236.1763093,33000.34791,1652.734501,,,,,,,,,4571.42857,160,47600,3300,60000,3400,"Dale et al., 2015",43507,660,2780,256,730.8,22
14065.27242,246.8885889,6405.962059,215.4771222,,,27303.22775,115.8824777,15317.40464,246.9753688,,,,,,,,,,,4655.17241,270,70,10,12800,1100,"Dale et al., 2015",6426,2547,2780,298,5880,372
6285.703763,119.6389918,8118.29859,224.0312706,,,,,14199.18359,196.6151038,,,,,,,,,,,5000,150,70,10,32000,4100,"Dale et al., 2015",1370,373,2664,294,1183,76
,,11098.58186,315.6602644,,,,,9719.732685,281.5347123,,,,,,,,,,,3333.33333,170,,,18200,2600,"Dale et al., 2015",1390,357,2448,290,769.5,50
,,,,,,,,8041.735677,286.7045206,,,,,,,,,,,3333.33333,10,,,15000,2300,"Dale et al., 2015",1370,316,1570,237,3260,238
,,,,,,,,7454.662456,292.1061039,,,,,,,,,,,2500,30,,,4400,200,"Dale et al., 2015",29406,12453,2154.5,239,885,61
,,,,,,,,9447.320347,469.9033563,,,,,,,,,,,6896.55172,200,,,25900,1000,"Dale et al., 2015",30276,10007,2387,343,3802.5,244
,,,,,,,,,,,,,,,,,,,,5090.90909,280,,,54000,1000,"Dale et al., 2015",6952,1179,,,,
,,,,,,,,,,,,,,,,,,,,9259.25926,250,,,,,,5190,873,,,,
,,,,,,,,,,,,,,,,,,,,8593.75,550,,,,,,28000,6511,,,,
,,,,,,,,,,,,,,,,,,,,5000,20,,,,,,7515,1724,,,,
,,,,,,,,,,,,,,,,,,,,5185.18519,140,,,,,,6975,961,,,,
,,,,,,,,,,,,,,,,,,,,6923.07692,90,,,,,,688,236,,,,
,,,,,,,,,,,,,,,,,,,,5740.74074,310,,,,,,2256,2206,,,,
,,,,,,,,,,,,,,,,,,,,4705.88235,160,,,,,,18120,2812,,,,
,,,,,,,,,,,,,,,,,,,,4852.94118,330,,,,,,16280,2873,,,,
,,,,,,,,,,,,,,,,,,,,3913.04348,180,,,,,,10080,2021,,,,
,,,,,,,,,,,,,,,,,,,,5487.80488,450,,,,,,8625,1336,,,,
,,,,,,,,,,,,,,,,,,,,6923.07692,90,,,,,,13900,2501,,,,
,,,,,,,,,,,,,,,,,,,,4032.25806,250,,,,,,12400,733,,,,
,,,,,,,,,,,,,,,,,,,,4651.16279,20,,,,,,17400,8852,,,,
,,,,,,,,,,,,,,,,,,,,1764.70588,60,,,,,,18404,15361,,,,
,,,,,,,,,,,,,,,,,,,,8936.17021,420,,,,,,28200,9792,,,,
,,,,,,,,,,,,,,,,,,,,10307.6923,670,,,,,,16330,6974,,,,
,,,,,,,,,,,,,,,,,,,,11272.7273,620,,,,,,2600,999,,,,
,,,,,,,,,,,,,,,,,,,,15454.5455,1190,,,,,,1386,136,,,,
,,,,,,,,,,,,,,,,,,,,5384.61538,70,,,,,,350,21,,,,
,,,,,,,,,,,,,,,,,,,,5000,60,,,,,,19400,19876,,,,
,,,,,,,,,,,,,,,,,,,,3250,26,,,,,,10248,2770,,,,
,,,,,,,,,,,,,,,,,,,,3111.11111,28,,,,,,989.1,219,,,,
,,,,,,,,,,,,,,,,,,,,2500,5,,,,,,4250,1171,,,,
,,,,,,,,,,,,,,,,,,,,2400,12,,,,,,3580,839,,,,
,,,,,,,,,,,,,,,,,,,,1500,3,,,,,,14440,7887,,,,
,,,,,,,,,,,,,,,,,,,,1500,3,,,,,,2210,619,,,,
,,,,,,,,,,,,,,,,,,,,15147.0588,1030,,,,,,2772,281,,,,
,,,,,,,,,,,,,,,,,,,,49800,2490,,,,,,3938,950,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,1390,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6760,1079,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,175,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,14500,9023,,,,