TOC,Height
0.204081633,0.539083558
0.204081633,3.126684636
0.816326531,12.83018868
0.408163265,16.06469003
5.510204082,17.35849057
4.285714286,20.59299191
4.285714286,24.47439353
4.489795918,27.70889488
3.469387755,30.94339623
2.653061224,38.05929919
4.081632653,42.58760108
4.081632653,47.11590296
3.87755102,49.05660377
1.836734694,51.64420485
3.06122449,54.23180593
3.469387755,58.76010782
4.897959184,60.05390836
0.816326531,61.34770889
3.673469388,65.22911051
3.469387755,67.16981132
1.428571429,68.46361186
4.693877551,78.1671159
3.87755102,80.75471698
3.265306122,81.40161725
1.224489796,82.04851752
2.857142857,83.34231806
3.673469388,83.34231806
4.081632653,83.34231806
4.897959184,83.34231806
4.444444444,83.35664336
3.87755102,85.92991914
4.489795918,86.57681941
3.469387755,90.45822102
4.897959184,91.75202156
6.530612245,96.92722372
5.079365079,98.04195804
5.102040816,98.22102426
4.489795918,100.8086253
4.444444444,100.8391608
3.174603175,100.8391608
4.761904762,101.5384615
3.87755102,102.1024259
2.653061224,103.3962264
2.857142857,105.9838275
2.857142857,107.277628
3.06122449,109.2183288
3.673469388,110.5121294
1.020408163,112.4528302
4.126984127,113.4265734
6.326530612,115.6873315
2.857142857,116.9811321
6.326530612,119.5687332
5.102040816,124.097035
5.079365079,125.3146853
5.510204082,127.3315364
3.87755102,130.5660377
2.040816327,134.4474394
3.469387755,137.6819407
5.918367347,140.916442
6.326530612,144.7978437
5.306122449,148.032345
2.857142857,150.4895105
0.204081633,151.2668464
0.204081633,151.9137466
0.408163265,189.4339623
4.081632653,194.6091644
0.615384615,197.8290214
8.979591837,197.8436658
10.81632653,199.7843666
2.692307692,200.359955
1.307692308,200.7649044
8.163265306,201.0781671
10.53846154,201.1698538
9.795918367,203.0188679
8.461538462,204.4094488
11.23076923,205.928009
6.93877551,206.2533693
8.923076923,207.7502812
9.384615385,209.2688414
7.959183673,210.1347709
9.153846154,210.2812148
8.461538462,212.3059618
5.714285714,213.3692722
7.076923077,214.3307087
1.020408163,214.6630728
13.96825397,215.5244755
16.19047619,215.5244755
9.153846154,216.2542182
4.081632653,216.6037736
11.69230769,218.3802025
6.530612245,218.5444744
3.846153846,219.8987627
4.693877551,221.7789757
6.615384615,222.1259843
5.923076923,223.4420697
6.12244898,225.0134771
5.230769231,225.9730034
5,230.4274466
4.307692308,232.3509561
6.153846154,236.0967379
5.714285714,237.9020979
4.761904762,237.9020979
11.46153846,238.3239595
10,238.5983827
8.571428571,240.5390836
10.30769231,242.7784027
7.551020408,243.7735849
7.769230769,246.5241845
8.367346939,247.6549865
8.230769231,248.5489314
4.897959184,250.8894879
10.53846154,251.1811024
4.307692308,251.5860517
15.71428571,252.1832884
5.923076923,252.5984252
12.85714286,252.8301887
13.53846154,252.9021372
15.61538462,253.5095613
15.15384615,253.8132733
18.97959184,254.1239892
11.46153846,254.4206974
12.38461538,254.7244094
15.51020408,254.7708895
11.69230769,255.1293588
14.69387755,255.4177898
12.15384615,255.5343082
14.46153846,256.0404949
11.83673469,256.7115903
10.6122449,256.7115903
9.846153846,256.7491564
12.61538462,257.1541057
10.76923077,257.6602925
13.30769231,257.9640045
12.65306122,258.0053908
17,258.5714286
15.51020408,258.6522911
18.16326531,258.6522911
11.46153846,259.0776153
16.53846154,259.583802
10.07692308,260.0899888
15.87301587,260.2797203
17.46031746,260.2797203
14.28571429,260.5929919
14.89795918,260.5929919
9.153846154,260.6974128
17.23076923,261.2035996
18.38461538,261.8110236
18.97959184,261.8867925
11.46153846,262.3172103
11.83673469,262.5336927
14,263.6332958
26.12244898,263.8274933
21.38461538,264.0382452
20.6122449,264.4743935
21.61538462,264.7469066
13.53846154,265.2530934
12.84615385,265.7592801
15.15384615,266.2654668
13.07692308,266.7716535
25.71428571,267.0619946
20.40816327,267.0619946
8.461538462,267.3790776
19.3877551,267.7088949
14.46153846,267.8852643
12.84615385,268.3914511
14.46153846,268.9988751
11.83673469,269.6495957
9.384615385,269.9100112
8.461538462,270.8211474
17.34693878,270.9433962
21.63265306,271.5902965
23.87755102,271.5902965
17.69230769,272.0359955
15.84615385,272.1372328
11.46153846,272.5421822
12.24489796,272.884097
7.769230769,273.048369
16.07692308,273.4533183
11.42857143,273.5309973
10.53846154,273.5545557
10.07692308,274.3644544
12.15384615,274.4656918
12.04081633,274.8247978
12.15384615,275.0731159
12.61538462,275.2755906
13.53846154,275.5793026
3.153846154,275.984252
6.846153846,275.984252
18.16326531,276.1185984
11,276.1867267
8.692307692,276.591676
26.32653061,276.7654987
11.46153846,276.8953881
11.92307692,277.4015748
14.23076923,277.5028121
6.846153846,277.8065242
1.769230769,277.9077615
19.18367347,278.0592992
4.076923077,278.6164229
6.846153846,279.0213723
10.07692308,279.3250844
10.81632653,279.3530997
5.461538462,279.5275591
8,279.7300337
8,280.2362205
5.461538462,280.3374578
3.846153846,280.5399325
3.153846154,280.5399325
13.30769231,280.6411699
19.79591837,280.6469003
1.428571429,280.6469003
1.538461538,280.8436445
2.230769231,281.0461192
4.076923077,281.1473566
22.04081633,281.2938005
2.244897959,281.2938005
4.538461538,281.3498313
14,281.6535433
2.692307692,281.7547807
5.230769231,282.0584927
2.692307692,282.0584927
13.67346939,282.5876011
11.69230769,283.0708661
8.923076923,284.2857143
9.387755102,284.5283019
9.153846154,284.791901
12.15384615,285.6017998
10.53846154,286.8166479
14.48979592,287.115903
11,289.3475816
12.85714286,289.703504
18.15384615,290.056243
1.769230769,290.359955
12.61538462,290.359955
1.076923077,290.663667
6.384615385,290.8661417
8.692307692,291.4735658
10.81632653,292.9380054
10.81632653,293.5849057
8.230769231,293.5995501
16.50793651,293.8461538
15.87301587,293.8461538
7.769230769,294.5106862
5.923076923,296.0292463
1.224489796,296.1725067
6.615384615,296.8391451
5.692307692,297.9527559
11.11111111,298.7412587
10.79365079,298.7412587
9.841269841,298.7412587
3.384615385,298.863892
6.615384615,299.8762655
14.89795918,300.0539084
8,300.9898763
9.387755102,303.2884097
8,304.431946
5.230769231,305.3430821
5,306.1529809
7.619047619,306.4335664
6.984126984,306.4335664
4.285714286,306.5229111
4.538461538,306.9628796
4.769230769,308.8863892
4.538461538,310
5.510204082,310.4043127
7.619047619,312.027972
6.349206349,312.027972
6.846153846,312.4296963
6.93877551,312.9919137
7.076923077,314.0494938
4.307692308,316.1754781
6.93877551,317.5202156
6.349206349,317.6223776
6.734693878,320.1078167
8.692307692,321.43982
5.918367347,323.3423181
5.692307692,323.4645669
7.301587302,325.3146853
6.349206349,325.3146853
6.031746032,325.3146853
7.538461538,325.8942632
7.538461538,326.8053993
7.755102041,327.2237197
7.769230769,327.4128234
1.307692308,327.7165354
2.692307692,327.9190101
7.142857143,329.8113208
6.615384615,330.8548931
8,332.87964
5.230769231,334.904387
7.346938776,334.9865229
7.755102041,336.9272237
3.615384615,337.0303712
5,339.1563555
5.714285714,340.1617251
3.87755102,343.3962264
7.755102041,347.277628
7.142857143,351.1590296
7.346938776,354.393531
4.693877551,356.9811321
6.12244898,360.8625337
5.396825397,363.7762238
4.761904762,363.7762238
7.959183673,364.097035
5.918367347,367.3315364
6.12244898,371.212938
4.081632653,374.4474394
3.174603175,376.3636364
3.87755102,378.328841
2.653061224,381.5633423