TOC,Height,Height2
5,149.1563555,339.1563555
3.615384615,147.0303712,337.0303712
5.230769231,144.904387,334.904387
8,142.87964,332.87964
6.615384615,140.8548931,330.8548931
2.692307692,137.9190101,327.9190101
1.307692308,137.7165354,327.7165354
7.769230769,137.4128234,327.4128234
7.538461538,136.8053993,326.8053993
7.538461538,135.8942632,325.8942632
5.692307692,133.4645669,323.4645669
8.692307692,131.43982,321.43982
4.307692308,126.1754781,316.1754781
7.076923077,124.0494938,314.0494938
6.846153846,122.4296963,312.4296963
4.538461538,120,310
4.769230769,118.8863892,308.8863892
4.538461538,116.9628796,306.9628796
5,116.1529809,306.1529809
5.230769231,115.3430821,305.3430821
8,114.431946,304.431946
8,110.9898763,300.9898763
6.615384615,109.8762655,299.8762655
3.384615385,108.863892,298.863892
5.692307692,107.9527559,297.9527559
6.615384615,106.8391451,296.8391451
5.923076923,106.0292463,296.0292463
7.769230769,104.5106862,294.5106862
8.230769231,103.5995501,293.5995501
8.692307692,101.4735658,291.4735658
6.384615385,100.8661417,290.8661417
1.076923077,100.663667,290.663667
1.769230769,100.359955,290.359955
12.61538462,100.359955,290.359955
18.15384615,100.056243,290.056243
11,99.34758155,289.3475816
10.53846154,96.81664792,286.8166479
12.15384615,95.60179978,285.6017998
9.153846154,94.79190101,284.791901
8.923076923,94.28571429,284.2857143
11.69230769,93.07086614,283.0708661
5.230769231,92.05849269,282.0584927
2.692307692,92.05849269,282.0584927
2.692307692,91.75478065,281.7547807
14,91.65354331,281.6535433
4.538461538,91.34983127,281.3498313
4.076923077,91.14735658,281.1473566
2.230769231,91.04611924,281.0461192
1.538461538,90.84364454,280.8436445
13.30769231,90.64116985,280.6411699
3.846153846,90.53993251,280.5399325
3.153846154,90.53993251,280.5399325
5.461538462,90.33745782,280.3374578
8,90.23622047,280.2362205
8,89.73003375,279.7300337
5.461538462,89.52755906,279.5275591
10.07692308,89.32508436,279.3250844
6.846153846,89.02137233,279.0213723
4.076923077,88.61642295,278.6164229
1.769230769,87.90776153,277.9077615
6.846153846,87.80652418,277.8065242
14.23076923,87.50281215,277.5028121
11.92307692,87.4015748,277.4015748
11.46153846,86.89538808,276.8953881
8.692307692,86.59167604,276.591676
11,86.18672666,276.1867267
3.153846154,85.98425197,275.984252
6.846153846,85.98425197,275.984252
13.53846154,85.57930259,275.5793026
12.61538462,85.27559055,275.2755906
12.15384615,85.07311586,275.0731159
12.15384615,84.46569179,274.4656918
10.07692308,84.36445444,274.3644544
10.53846154,83.55455568,273.5545557
16.07692308,83.45331834,273.4533183
7.769230769,83.04836895,273.048369
15.84615385,82.13723285,272.1372328
11.46153846,82.54218223,272.5421822
17.69230769,82.0359955,272.0359955
8.461538462,80.82114736,270.8211474
9.384615385,79.91001125,269.9100112
14.46153846,78.99887514,268.9988751
12.84615385,78.39145107,268.3914511
14.46153846,77.88526434,267.8852643
8.461538462,77.37907762,267.3790776
13.07692308,76.77165354,266.7716535
15.15384615,76.26546682,266.2654668
12.84615385,75.75928009,265.7592801
13.53846154,75.25309336,265.2530934
21.61538462,74.74690664,264.7469066
21.38461538,74.03824522,264.0382452
14,73.63329584,263.6332958
11.46153846,72.31721035,262.3172103
18.38461538,71.81102362,261.8110236
17.23076923,71.20359955,261.2035996
9.153846154,70.69741282,260.6974128
10.07692308,70.08998875,260.0899888
16.53846154,69.58380202,259.583802
11.46153846,69.0776153,259.0776153
17,68.57142857,258.5714286
13.30769231,67.9640045,257.9640045
10.76923077,67.66029246,257.6602925
12.61538462,67.15410574,257.1541057
9.846153846,66.74915636,256.7491564
14.46153846,66.04049494,256.0404949
12.15384615,65.53430821,255.5343082
11.69230769,65.12935883,255.1293588
12.38461538,64.72440945,254.7244094
11.46153846,64.42069741,254.4206974
15.15384615,63.81327334,253.8132733
15.61538462,63.5095613,253.5095613
13.53846154,62.90213723,252.9021372
5.923076923,62.5984252,252.5984252
4.307692308,61.58605174,251.5860517
10.53846154,61.18110236,251.1811024
8.230769231,58.54893138,248.5489314
7.769230769,56.52418448,246.5241845
10.30769231,52.7784027,242.7784027
11.46153846,48.32395951,238.3239595
6.153846154,46.09673791,236.0967379
4.307692308,42.35095613,232.3509561
5,40.42744657,230.4274466
5.230769231,35.97300337,225.9730034
5.923076923,33.44206974,223.4420697
6.615384615,32.12598425,222.1259843
3.846153846,29.89876265,219.8987627
11.69230769,28.38020247,218.3802025
9.153846154,26.25421822,216.2542182
7.076923077,24.33070866,214.3307087
8.461538462,22.30596175,212.3059618
9.153846154,20.28121485,210.2812148
9.384615385,19.26884139,209.2688414
8.923076923,17.75028121,207.7502812
11.23076923,15.928009,205.928009
8.461538462,14.40944882,204.4094488
10.53846154,11.16985377,201.1698538
1.307692308,10.76490439,200.7649044
2.692307692,10.35995501,200.359955
0.615384615,7.829021372,197.8290214