Sample Name,"Height, El Cap section (m)",OrgC,Al_corrected,Al 2σ uncertainty (ppm),Ca_corrected,Ca 2σ uncertainty (ppm),Si_corrected,Si 2σ uncertainty (ppm),Ti_corrected,Ti 2σ uncertainty (ppm)
F1917 43.5,143.5,16.33,33492.7578,6857.798728,126186.1252,1699.68537,169490.84,12901.41998,2490.680324,197.3753576
F1917 44.5,144.5,11.96,24325.8828,6853.884728,158050.0344,1735.33377,188518.4459,12934.10188,2002.192132,196.4209576
F1917 45.3,145.3,9.57,28003.6641,6901.431628,193112.1938,1748.38077,161596.5468,12912.13308,2274.290954,198.3642576
F1917 48.4,148.4,9.85,31235.1289,6860.510228,138052.1997,1704.65797,166731.9429,12904.04728,2351.952719,199.6618576
F1917 50.2,150.2,10.19,22590.5879,6852.567928,183204.9077,1751.50947,155298.3429,12901.55488,2177.359799,197.1759576
EA2110_50.8_A,150.8,3.33,7911.1343,6767.509128,334403.1688,1813.04957,103729.4427,12834.96028,1053.243168,193.3699576
F1917 51.0,151,6.91,30356.9883,6922.892528,196513.4849,1749.90407,189239.7663,12944.45508,2389.784206,202.9215576
EA2110_51.1_A,151.1,2.5,8102.438,6772.313228,326309.5279,1813.15607,107238.0911,12842.48178,962.7292912,190.6757576
EA2110_51.4_A,151.4,3.4,8721.7871,6768.222528,300030.4273,1796.32107,94217.71126,12816.43168,1029.7271,190.3142576
EA2110_51.7_A,151.7,4.9,11298.2295,6741.664728,212116.8468,1747.07747,117664.7226,12852.11758,1412.592485,190.7856576
EA2110_52.0_A,152,7,16182.0498,6740.265628,110898.5678,1669.01897,132943.2101,12863.14508,1840.115284,190.2843576
EA2110_52.3_A,152.3,5.1,12172.5879,6696.052628,68909.96772,1613.36257,200353.941,12909.61948,1328.605476,184.5870576
EA2110_52.6_A,152.6,5.1,9651.5898,6677.630228,65180.5416,1607.62137,237813.9906,12924.74268,1046.200657,182.4524576
EA2110_53.2_A,153.2,5.9,8630.3662,6713.539128,217538.7817,1736.81907,136560.5645,12873.11818,1041.191943,187.3162576
EA2110_53.5_A,153.5,14.7,10898.2158,6730.030528,228691.6824,1745.52237,100231.9294,12819.39888,1218.30158,189.1760576
EA2110_54.1_A,154.1,4.5,14372.0615,6756.334828,181132.2041,1726.03497,148771.7946,12881.30758,1230.063094,188.4924576
EA2110_54.4_A,154.4,2.9,8067.1445,6695.157628,163055.6487,1700.42757,160475.6189,12891.11408,939.1968114,184.1887576
EA2110_54.7_A,154.7,6.9,8200.6455,6741.739728,220270.955,1748.11857,131301.8495,12872.75358,931.5790328,186.9110576
EA2110_55.0_A,155,3.7,7702.2559,6685.967228,117139.4991,1663.94567,197034.2474,12913.65378,949.5328285,182.6962576
EA2110_55.3_A,155.3,3.3,9468.46,6770.623028,294938.3159,1796.45217,101488.4482,12830.81808,862.6137,189.5888576
EA2110_55.6_A,155.6,8.1,11992.1367,6792.393528,283478.3727,1790.02607,104292.0545,12833.05528,926.1971946,190.5948576
EA2110_55.9_A,155.9,15.8,13615.2617,6743.011528,147411.9622,1701.83387,120620.4112,12851.06598,1321.375261,188.4208576
EA2110_56.2_A,156.2,7.9,16914.4688,6764.373928,115869.9316,1676.59857,199204.18,12924.58928,1561.052066,188.5616576
EA2110_56.5_A,156.5,12.2,17754.0215,6784.950228,149031.348,1709.53747,155354.9319,12894.77188,1749.723567,191.8902576
EA2110_56.8_A,156.8,8.2,14130.6445,6752.816528,125021.0909,1682.94107,216348.1631,12936.94638,1256.104397,187.0889576
F1917 57.0,157,7.47,34971.6484,6933.543228,167390.2156,1747.70387,208500.6439,12956.03448,2688.859324,202.6229576
EA2110_57.1_A,157.1,10.5,17041.9531,6771.681728,149560.8555,1708.53427,150685.534,12887.56798,1748.480477,192.1942576
EA2110_57.8_A,157.8,16.4,18188.8242,6787.745528,189108.8091,1736.84447,130030.3324,12867.06078,1631.80719,192.3583576
EA2110_58.1_A,158.1,10.9,12052.3896,6761.378728,224441.7816,1755.66627,122334.7922,12857.21118,1146.515691,190.2842576
EA2110_58.4_A,158.4,19.8,15352.5273,6788.492528,208223.8428,1755.18677,122844.1465,12857.52228,1329.179186,192.0457576
EA2110_58.7,158.7,11.1,10734.2998,6769.166528,242657.2484,1760.15647,197084.8916,12941.02668,1127.438991,190.1148576
EA2110_59.0,159,18,12697.6836,6785.995528,244961.6417,1770.26417,143245.1829,12887.24008,1374.791537,192.7067576
EA2110_59.3,159.3,18.3,12179.8877,6789.541228,257325.1686,1780.85417,147231.8355,12894.03378,1291.951533,193.1144576
EA2110_59.6_A,159.6,6.3,13312.3633,6814.402928,296469.2159,1799.43867,143793.9301,12892.06558,1150.381972,192.7384576
EA2110_59.9,159.9,6,13129.8652,6806.274428,288373.6847,1791.14757,124082.6878,12869.10698,1352.212851,193.1577576
EA2110_60.2_A,160.2,9.4,19787.3457,6831.637028,186712.1889,1747.38587,180295.0719,12925.37668,1748.134569,195.3484576
EA2110_60.5_A,160.5,7.3,19555.7051,6840.725528,237675.0848,1771.67777,160993.7242,12913.34828,1590.066936,195.8992576
EA2110_60.8_A,160.8,6.8,12663.1875,6780.188128,210117.586,1746.94907,198160.269,12942.31548,1228.489054,190.1420576
EA2110_61.1_A,161.1,6.5,13561.4053,6800.423828,276507.3051,1789.62117,160876.0709,12913.76098,1299.294974,194.9704576
EA2110_61.4_A,161.4,6.3,12239.1152,6782.849828,267120.4001,1777.42187,160557.6231,12912.14158,1155.540683,192.2218576
EA2110_61.7_A,161.7,6.2,12894.1836,6806.216028,306595.9052,1812.65667,121297.9033,12865.56728,1239.174304,197.3296576
EA2110_62.0_A,162,7.1,19136.4766,6811.253828,181704.0347,1732.35557,217756.4514,12955.02288,1550.585476,193.0851576
EA2110_62.3_A,162.3,6.8,19770.4453,6822.099428,196820.1926,1748.05027,200240.4438,12941.73658,1559.057846,194.0888576
EA2110_62.6_A,162.6,7.8,11762.1299,6807.101628,327049.45,1822.30077,128053.9462,12877.37788,1169.168753,200.1516576
EA2110_62.9_A,162.9,6,16423.2617,6833.695428,297531.6173,1803.75667,151041.5792,12903.75448,1375.884941,196.8235576
EA2110_63.2_A,163.2,7.8,13259.7275,6795.592028,255344.7903,1779.40157,166699.4791,12918.61728,1122.345202,193.3319576
EA2110_63.8_A,163.8,7.4,10214.1318,6772.087128,310825.9981,1803.78207,121922.2909,12864.34168,961.2961079,193.4714576
EA2110_64.1_A,164.1,9.5,15971.5498,6811.321428,275609.9631,1788.22917,116762.0581,12856.97148,1348.438397,195.2051576
EA2110_64.4_A,164.4,6.8,8477.3662,6747.212128,239111.3951,1756.66477,189703.7164,12940.02378,865.346793,188.3331576
EA2110_64.7_A,164.7,4.4,10534.1855,6786.069528,307416.4964,1803.82367,153169.8647,12908.07168,963.3889065,192.1636576
EA2110_65.0_A,165,6.7,12901.8174,6787.439028,237580.7708,1773.47227,190709.724,12942.49308,1158.196596,194.3052576
EA2110_65.3_A,165.3,2.5,13896.5752,6766.767728,167132.0432,1716.84987,255469.7485,12973.09818,1131.718388,188.2700576
EA2110_65.6_A,165.6,5.6,10534.8135,6790.531028,321356.6232,1805.93307,141768.9745,12895.84108,1035.314926,193.3929576
EA2110_65.9_A,165.9,4.4,8920.5674,6773.006528,281442.5284,1792.17237,157873.9142,12914.09738,954.6588191,193.8078576
EA2110_66.2_A,166.2,7,14662.8008,6826.824528,305889.1209,1810.29757,118320.7894,12862.54298,1496.73697,196.6685576
EA2110_66.5_A,166.5,5.5,15077.1641,6830.846828,341589.4654,1827.40077,108534.7009,12845.71898,1399.041803,198.0102576
EA2110_66.8_A,166.8,8.3,17853.3555,6835.117628,291477.3254,1803.68617,115583.045,12854.83348,1628.288687,197.6466576
EA2110_67.1_A,167.1,8.9,16369.3242,6821.807728,267660.7074,1785.26017,135386.4456,12882.13618,1469.555103,202.3563576
EA2110_67.4_A,167.4,7,9468.2441,6769.215428,311158.6373,1800.84047,132509.4896,12881.67798,1007.984827,191.5275576
EA2110_67.7_A,167.7,7.5,10804.0645,6785.728728,324567.711,1809.22157,116175.6669,12858.22268,1028.042225,193.8452576
EA2110_68.0_A,168,7.3,10999.2578,6791.366328,297522.0874,1797.57877,110648.623,12846.60258,1010.721556,191.6786576
EA2110_68.3_A,168.3,3.2,7044.2539,6771.997228,381816.2339,1848.64307,82811.56449,12794.74438,751.6698213,199.4032576
EA2110_68.6_A,168.6,2.2,4076.4163,6746.964528,451945.2388,1889.56117,70320.96351,12760.71828,456.6832799,194.2863576
EA2110_68.9_A,168.9,2.8,4889.1021,6734.051128,351210.1274,1806.56537,148684.6436,12901.98548,630.0794387,189.2176576
EA2110_69.2_A,169.2,3.8,7169.8296,6769.445928,371953.9783,1827.91677,119776.9423,12864.90198,719.2051105,202.2659576
EA2110_69.5_A,169.5,8.2,21108.4668,6847.495928,213277.2047,1764.74647,159288.0477,12911.90488,1921.159889,197.7139576
EA2110_69.8_A,169.8,9,18595.5039,6833.323628,220140.7464,1769.51867,152176.1989,12901.97928,1714.451387,196.1027576
EA2110_70.1_A,170.1,7.5,12243.1846,6798.119528,303264.7097,1811.72387,104094.3887,12836.63198,1160.017654,193.9213576
EA2110_70.7_A,170.7,12.6,13130.3076,6813.764728,301524.8027,1803.76497,119109.5578,12865.70468,1202.79449,200.3713576
EA2110_71.0_A,171,6.9,16836.6953,6835.865428,294115.2635,1801.00707,132211.7623,12879.69398,1646.052804,197.8488576
EA2110_71.3_A,171.3,5.8,15166.6709,6775.659028,149108.3351,1701.39197,240878.1757,12962.66878,1420.161337,189.3360576
EA2110_71.6_A,171.6,1.8,7783.0859,6795.195228,356355.1058,1825.85447,113302.3749,12857.59668,767.154578,196.6541576
EA2110_73.2_A,173.2,3.4,12739.6953,6825.786228,328348.8375,1813.96477,124036.1065,12871.40418,1223.435362,198.0675576
EA2110_73.5_A,173.5,6.4,16877.2109,6842.341228,241356.0298,1782.77497,172616.3222,12933.68098,1506.394466,196.2087576
EA2110_73.8_A,173.8,9.4,16446.8398,6801.565928,196360.1803,1745.20987,170269.1085,12916.02908,1503.530489,192.8818576
EA2110_74.4_A,174.4,14.3,14103.0195,6795.049528,252219.1561,1770.57407,147966.1028,12897.08608,1282.829416,192.3014576
EA2110_74.7_A,174.7,3,6614.814,6770.569828,409067.7929,1851.01867,97574.33062,12829.45028,633.5400823,193.1769576
EA2110_75.0_A,175,3.1,7167.6714,6742.723928,328213.8642,1807.10087,94598.47347,12817.61748,756.7378488,195.0490576
EA2110_75.3_A,175.3,1.2,9521.6025,6830.512928,378144.8778,1841.81957,92055.26292,12823.43898,748.5950788,207.4290576
EA2110_75.4_A,175.4,7.5,14461.8682,6774.883728,230072.5463,1756.98477,107091.8407,12836.34268,1228.509206,193.4743576
EA2110_75.6_A,175.6,3.3,8142.1279,6741.474728,255368.2605,1773.84417,115888.1934,12853.81118,795.972187,193.1876576
EA2110_75.9_A,175.9,6.5,15162.7646,6760.037928,171760.0469,1728.41127,110510.6349,12838.58138,1344.081923,189.5539576
EA2110_76.2_A,176.2,3,8125.5723,6762.979628,282838.5337,1797.07137,86975.24886,12804.99418,842.1838017,191.2853576
EA2110_76.5_A,176.5,8.3,10638.4453,6751.692728,247710.6891,1766.94427,126636.8005,12864.33638,1051.671309,189.5802576
EA2110_76.8_A,176.8,1.8,6746.8882,6772.310928,342281.0491,1812.79197,106921.964,12847.41308,706.0520683,191.0874576
EA2110_77.1_A,177.1,7.9,16895.582,6813.749828,226339.6597,1759.85377,121077.7648,12860.03888,1553.879398,193.5376576
EA2110_77.4_A,177.4,11.9,31853.7441,6857.308828,100790.9775,1684.11887,156747.9592,12893.46668,2803.279116,199.1047576
EA2110_77.7_A,177.7,11.7,32614.4453,6859.496328,94501.324,1678.91687,163701.3454,12901.29978,2865.262602,199.4197576
EA2110_78.0_A,178,15.3,36228.9492,6836.345328,57721.75326,1622.44197,174878.433,12897.10888,2825.517399,196.6685576
EA2110_78.3_A,178.3,19.2,32098.1699,6790.438828,54439.28499,1610.39717,158655.2948,12875.99648,2577.737609,194.5395576
EA2110_78.6_A,178.6,13,18273.7676,6789.659228,147517.3814,1717.05467,133572.0597,12867.16178,1584.659337,192.6548576
EA2110_78.9_A,178.9,12.2,22559.2227,6811.401428,170798.339,1729.77217,134320.338,12869.85568,1850.747765,194.7397576
EA2110_78.9_B,178.9,14.2,22427.0059,6813.243828,172877.8552,1730.01057,133925.7642,12870.44068,1834.129509,194.5176576
EA2110_79.2_A,179.2,12.7,15896.4033,6783.154428,210614.7726,1747.32427,120621.7611,12855.17308,1488.26782,192.7183576
EA2110_79.5_A,179.5,12.4,14221.3643,6757.119228,191376.2445,1734.46657,115424.3764,12844.25848,1411.619578,191.6168576
EA2110_79.8_A,179.8,12.7,19765.6875,6798.928528,191421.8657,1742.78307,131154.5319,12865.72878,1573.652693,193.4651576
EA2110_80.1_A,180.1,12.7,21314.4453,6809.421528,161145.7303,1725.44607,131794.6394,12866.61628,1921.274984,195.5462576
EA2110_80.4_A,180.4,12.7,19035.7812,6795.651128,186546.401,1734.43257,140016.0251,12879.29338,1769.44939,194.2637576
EA2110_81.0_A,181,12.5,16805.2676,6737.460428,151079.7643,1702.42847,124591.55,12849.16768,1427.24436,189.7284576
EA2110_81.3_A,181.3,15.9,28388.75,6808.613128,113331.4959,1681.26487,151538.3323,12879.86968,2270.216817,194.9350576
EA2110_81.6_A,181.6,13.6,26926.4941,6838.532428,146296.3887,1717.66127,139673.8379,12876.92748,2266.2799,197.1230576
EA2110_81.9_A,181.9,13.8,27452.3047,6813.915728,108009.4767,1680.21447,152514.6623,12885.30108,2243.372444,196.0949576
EA2110_82.2_A,182.2,16.2,29187.3652,6813.610028,88694.66066,1651.60757,144902.2701,12872.02898,2470.660219,194.5053576
EA2110_82.5_A,182.5,12.7,22391.6562,6816.289428,137126.0122,1713.61407,144897.1698,12883.12258,1802.011122,195.9668576
EA2110_84.9_A,184.9,30.6,33715.3281,6765.393628,16451.70457,1527.15797,135422.4338,12841.28878,2670.345634,194.6940576
EA2110_85.5_A,185.5,14.8,26194.0859,6824.250028,132910.6866,1704.60377,135983.7556,12869.80128,2324.3541,197.0061576
EA2110_85.8_A,185.8,16.2,24010.0703,6807.504328,133156.8975,1700.93657,121829.9397,12849.73388,2211.009948,194.3775576
EA2110_86.1_A,186.1,6.1,11744.2129,6788.439728,284064.498,1787.04117,112908.7654,12850.51038,1130.119626,192.9929576
EA2110_86.4_A,186.4,8.1,15065.5488,6806.518428,274463.5061,1788.30077,107972.385,12840.21848,1380.401177,194.9306576
EA2110_86.7_A,186.7,12.9,30632.8457,6843.548528,81663.56883,1655.97737,154055.3663,12887.54078,2312.112677,199.6461576
EA2110_87.0_A,187,23.8,44485.9141,6821.125828,14471.36072,1518.94917,166845.3604,12875.18838,3081.909585,195.3163576
EA2110_87.3_A,187.3,14.6,32480.1484,6842.121628,97688.27208,1670.23017,162608.8318,12893.65058,2877.007806,197.9361576
EA2110_87.6_A,187.6,17,30026.0254,6848.555228,120042.8552,1690.14507,151355.3323,12888.53168,2930.732388,198.6851576
EA2110_87.9_A,187.9,16.6,26466.9395,6792.100928,106851.1961,1674.27217,143427.7706,12869.88738,2350.660807,195.0602576
EA2110_88.2_A,188.2,11.7,20507.6719,6799.382728,176626.5725,1734.43047,131849.6125,12867.95288,2080.818077,196.4536576
EA2110_88.5_A,188.5,10.5,18279.6973,6801.116428,190377.1064,1740.70307,144011.6614,12886.24068,1673.394953,210.5952576
EA2110_88.8_A,188.8,12.6,21600.666,6802.218728,185023.2194,1727.15637,126872.0472,12860.34168,1948.668655,194.2949576
EA2110_89.1_A,189.1,13.3,23561.2754,6779.130228,146356.8362,1705.94467,127139.4785,12853.22878,2032.497044,193.4306576
EA2110_89.4_A,189.4,6,12911.9785,6788.355828,290482.3419,1788.14537,100273.7561,12827.40298,1268.966066,193.9960576
EA2110_89.7_A,189.7,7.4,12793.4707,6807.181928,333424.1143,1813.58597,100019.6042,12830.74818,1230.663396,194.7915576
EA2110_90.0_A,190,8.5,14885.7998,6795.989928,276555.8601,1781.29597,107995.157,12840.53278,1479.81851,193.7124576
EA2110_91.2_A,191.2,16,45757.2656,6824.920028,7562.450112,1493.84887,187019.8812,12892.50288,3340.447027,196.9829576
EA2110_91.5_A,191.5,10.4,16923.9297,6779.323928,175558.4611,1732.90937,136965.9706,12873.33668,1517.78057,192.3045576
EA2110_91.8_A,191.8,21.9,45690.2852,6791.239528,6228.630753,1482.77337,165753.4651,12866.20178,3186.875063,194.9792576
EA2110_92.1_A,192.1,19.2,47156.1641,6820.524728,4700.520221,1483.30677,171043.6664,12878.05228,3504.057506,199.4905576
EA2110_92.4_A,192.4,11.6,18245.4766,6766.232328,163469.4687,1712.79107,115214.5581,12841.42938,1787.662462,192.5628576
EA2110_92.7_A,192.7,17,43130.7734,6831.608228,22981.41097,1553.00257,171929.3809,12885.21178,3244.846529,198.6555576
EA2110_93.0_A,193,19.6,33676.7812,6777.211228,32355.92125,1568.43297,164861.4002,12875.08188,2750.353032,196.4651576
EA2110_93.6_A,193.6,15.4,40166.6875,6816.545028,25706.9956,1557.59657,183153.4487,12894.36958,3236.103457,197.8467576
EA2110_93.9_A,193.9,11.8,23293.0449,6801.680528,122627.8475,1687.81577,199178.1663,12928.54138,1974.651995,194.1419576
EA2110_94.2_A,194.2,7,15129.1553,6795.989828,284467.4296,1793.69877,108835.4207,12839.99088,1653.007955,196.2086576
EA2110_95.7_A,195.7,7.1,20630.1953,6815.077828,163961.9987,1721.74367,162739.6381,12909.80068,2001.863986,195.5890576
EA2110_96.0_A,196,11.8,29265.0176,6828.945128,102399.2091,1679.46237,163254.3322,12897.45808,2377.881109,196.2604576
EA2110_96.6_A,196.6,16.3,32987,6813.765728,54128.95442,1607.83547,193960.1941,12910.96228,2410.958171,201.0403576
EA2110_96.9_A,196.9,13.1,38885.8984,6834.292328,50178.41203,1610.67467,184589.8386,12904.27388,2969.752014,197.5723576
EA2110_97.2_A,197.2,11.7,21117.8691,6762.264228,80003.61706,1634.02397,225671.1327,12931.17268,1571.477001,188.4591576
EA2110_97.5_A,197.5,9.4,16628.3809,6747.685428,128376.4161,1682.63587,197478.8602,12919.68358,1421.15128,188.3867576
EA2110_97.8_A,197.8,21,37730.1406,6790.576228,27812.54427,1553.64307,168606.9609,12878.55978,2803.878067,194.2557576
EA2110_98.1_A,198.1,7.2,17450.5898,6789.926528,150550.4145,1712.07447,217716.9655,12952.04198,1484.452023,191.9750576
EA2110_98.5_A,198.5,15.8,37820.668,6817.146228,31599.77214,1574.26667,187024.5226,12900.42008,2961.495084,197.7117576
EA2110_99.0_A,199,11.1,29632.5273,6800.967128,41994.21293,1592.66527,202576.5259,12914.06368,2444.134643,193.9238576
EA2110_99.5_A,199.5,15.5,43236.3047,6836.161428,9659.503249,1511.83867,182968.8661,12895.07758,3338.111677,200.7717576
EA2110_100.0_A,200,14.7,42991.2227,6852.423428,37017.05293,1590.32167,179307.3377,12898.95098,3169.687252,199.8093576
EA2110_101.0_A,201,4.7,15261.6631,6837.459228,261091.6656,1800.65427,133056.6209,12883.03428,1340.147083,207.2844576
EA2110_101.5_B,201.5,11.6,27450.7402,6791.493428,77494.78002,1642.21357,194860.4315,12913.70168,2080.624867,193.1890576
EA2110_102.0_A,202,8,23534.6035,6814.243628,151583.7144,1713.89157,133019.4357,12868.48268,1959.158928,194.4812576
EA2110_102.5_A,202.5,11.2,28109.5195,6808.360828,92131.90534,1655.71907,203981.5958,12926.47648,2154.75317,194.1804576
EA2110_103.0_A,203,5,10656.0381,6725.339128,191087.1198,1727.36227,116025.4899,12845.41468,1108.333413,188.1764576
EA2110_104.5_A,204.5,6.6,17624.0977,6761.324228,133863.3076,1692.10417,121991.8335,12847.95628,1353.825637,188.9390576
EA2110_105.0_A,205,6.4,14419.5439,6732.799328,118951.4804,1679.85807,162219.5446,12892.68268,1326.431135,187.9363576
EA2110_105.5_A,205.5,11,26183.1328,6805.482728,132104.0457,1695.75477,140011.1642,12870.81798,1994.715002,193.6476576
EA2110_106.0_A,206,18.4,44640.957,6823.819128,17443.88719,1535.86967,180053.3285,12888.61168,3135.878484,198.2634576
EA2110_106.5_A,206.5,16.71,33564.8125,6808.246528,50697.4051,1607.47317,155878.1575,12878.07408,2707.693472,196.0760576